143,150,145,156,0
151,143,120,183,1
100,98,86,156,0
140,137,119,182,0
147,147,138,160,0
78,87,76,143,1
149,150,134,161,0
138,138,118,184,1
158,151,129,187,1
103,111,96,205,0
125,133,124,138,0
127,128,109,184,0
82,73,59,124,1
115,110,87,191,0
135,143,135,145,0
146,143,120,176,1
144,153,146,153,0
180,177,154,197,1
111,111,85,191,0
93,89,80,108,0
154,159,138,189,1
122,112,99,161,1
139,142,128,156,0
87,76,69,107,1
101,97,84,157,1
95,87,84,130,1
158,160,145,172,0
29,22,23,71,1
166,173,165,190,0
116,111,93,165,1
90,98,92,156,1
123,115,97,159,1
105,107,97,111,0
83,86,82,135,0
134,132,113,172,0
116,105,88,147,1
113,116,108,117,0
131,132,108,189,0
154,145,121,187,1
109,111,90,201,0
133,128,106,194,0
114,112,101,172,0
9,15,22,19,0
58,52,39,50,0
111,112,107,123,0
89,92,77,169,0
169,160,137,193,1
161,159,134,189,1
144,142,129,155,0
118,116,102,171,1
121,117,95,182,1
124,114,101,150,1
105,102,82,159,0
25,15,12,42,0
172,168,147,199,1
147,148,139,162,0
105,101,86,168,0
135,125,107,171,1
122,120,114,169,1
70,79,67,144,1
125,129,116,136,0
178,175,150,198,1
97,91,77,137,1
131,134,124,144,0
154,155,140,168,0
153,145,119,185,1
127,129,119,144,0
63,59,65,107,0
137,154,151,152,0
148,155,142,164,0
140,132,113,181,0
120,112,93,154,1
175,170,151,199,1
124,127,101,188,0
225,231,227,236,0
82,90,83,153,1
122,115,95,177,0
133,125,106,172,1
75,73,70,118,0
21,30,37,34,0
82,83,68,155,0
137,132,115,178,1
126,117,104,158,1
106,94,81,138,1
83,91,76,194,0
104,94,81,134,1
143,153,128,159,0
27,22,18,79,0
26,29,35,31,1
111,106,93,142,1
96,107,112,93,0
156,154,133,192,1
71,77,83,77,0
152,151,139,165,0
132,136,123,186,0
97,106,86,196,0
160,160,148,171,0
69,78,80,83,0
116,113,106,129,0
131,150,134,183,0
165,160,135,193,1
177,170,151,198,1
108,103,102,145,0
140,121,108,171,0
174,172,158,193,1
80,76,74,118,0
114,118,112,126,0
12,16,25,46,0
117,112,89,188,0
132,135,117,192,1
105,112,96,165,0
173,168,134,194,1
156,149,123,187,1
127,132,127,139,0
102,95,86,135,1
137,141,130,147,0
122,121,103,167,0
101,95,83,135,1
158,153,130,186,1
137,139,116,187,0
144,158,142,161,0
160,167,157,172,0
118,120,100,196,0
122,127,115,168,0
70,59,44,91,1
73,73,66,132,1
105,99,88,148,1
106,117,125,105,0
108,100,86,154,1
99,96,84,156,1
173,180,177,185,0
130,127,106,176,1
121,124,100,196,0
21,27,28,26,1
122,114,97,165,0
83,83,76,147,0
104,99,83,146,1
72,67,65,113,1
111,112,102,161,0
115,118,105,185,0
133,131,106,193,0
96,96,78,180,1
111,103,86,153,1
109,110,95,173,0
98,98,90,152,0
99,86,65,138,1
116,115,104,161,1
145,153,140,161,0
116,119,99,186,0
164,162,142,190,1
161,171,165,192,0
46,42,45,83,1
113,105,91,147,1
99,97,82,136,1
137,136,119,190,1
122,125,113,130,0
170,166,144,197,1
105,97,81,137,1
66,69,60,123,1
123,129,125,130,0
108,104,89,164,0
167,157,134,193,1
94,83,69,118,1
169,161,142,198,1
167,162,137,194,1
156,160,144,171,0
110,100,84,143,1
123,135,125,137,0
67,78,69,136,1
125,117,107,140,1
123,107,95,149,1
156,151,129,188,1
123,127,114,137,0
100,99,94,169,1
146,147,134,163,0
134,142,132,156,0
110,100,85,136,1
135,134,122,148,0
129,128,106,186,0
190,162,141,207,0
107,111,90,182,0
104,102,85,169,0
123,116,97,161,1
97,103,85,188,0
132,136,132,143,0
117,120,115,165,1
163,163,134,193,1
146,141,113,180,1
147,146,129,157,0
141,137,116,183,1
191,189,173,204,1
122,117,100,174,0
57,58,57,108,0
136,122,102,175,1
128,124,99,170,1
109,104,92,153,1
83,74,67,102,1
136,142,130,151,0
100,104,94,153,1
141,123,108,164,0
